game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020190,2021-02-07,CAR,CBJ,5,6,3
2020020191,2021-04-26,COL,STL,4,1,3
2020020192,2021-04-14,ARI,MIN,5,2,3
2020020193,2021-02-07,CHI,DAL,1,2,4
2020020194,2021-02-07,L.A,VGK,4,3,3
2020020195,2021-04-13,BUF,BOS,4,2,5
2020020196,2021-02-08,NYI,NYR,0,2,3
2020020197,2021-02-08,CAR,CBJ,3,2,3
2020020198,2021-02-08,T.B,NSH,1,4,3
2020020199,2021-02-08,EDM,OTT,1,3,3
2020020200,2021-02-08,VAN,TOR,3,1,3
2020020201,2021-03-18,PIT,N.J,3,2,3
2020020202,2021-04-13,PHI,WSH,6,1,3
2020020203,2021-02-09,DET,FLA,2,1,3
2020020204,2021-02-09,T.B,NSH,1,6,3
2020020205,2021-02-09,EDM,OTT,2,3,3
2020020206,2021-02-09,WPG,CGY,3,2,3
2020020207,2021-05-01,STL,MIN,4,3,4
2020020208,2021-02-09,CHI,DAL,1,2,4
2020020209,2021-03-31,ARI,COL,9,3,3
2020020210,2021-02-09,ANA,VGK,5,4,3
2020020211,2021-02-09,S.J,L.A,3,4,5
2020020212,2021-02-10,BOS,NYR,2,3,4
2020020213,2021-02-10,TOR,MTL,2,4,3
2020020214,2021-03-15,WSH,BUF,0,6,3
2020020215,2021-02-11,PIT,NYI,3,4,5
2020020216,2021-04-25,N.J,PHI,6,5,5
2020020217,2021-02-11,T.B,FLA,5,2,3
2020020218,2021-02-11,CBJ,CHI,5,6,3
2020020219,2021-02-11,DET,NSH,3,2,3
2020020220,2021-02-11,EDM,MTL,0,3,3
2020020221,2021-02-11,OTT,WPG,5,1,3
2020020222,2021-02-11,CGY,VAN,1,3,3
2020020223,2021-03-25,STL,MIN,2,0,3
2020020224,2021-02-11,CAR,DAL,3,5,3
2020020225,2021-04-12,ARI,COL,4,2,3
2020020226,2021-02-11,ANA,VGK,0,1,3
2020020227,2021-02-11,S.J,L.A,6,2,3
2020020228,2021-02-12,BOS,NYR,0,1,3
