constructorStandingsId,raceId,constructorId,points,position,positionText,wins,name,year,round,date,race_name
26250,937,131,426,1,1,9,Mercedes,2015,11,2015-08-23,Belgian Grand Prix
26261,938,6,270,2,2,2,Ferrari,2015,12,2015-09-06,Italian Grand Prix
26262,938,3,188,3,3,0,Williams,2015,12,2015-09-06,Italian Grand Prix
26263,938,15,25,8,8,0,Sauber,2015,12,2015-09-06,Italian Grand Prix
26264,938,9,113,4,4,0,Red Bull,2015,12,2015-09-06,Italian Grand Prix
26265,938,10,63,5,5,0,Force India,2015,12,2015-09-06,Italian Grand Prix
26266,938,5,35,7,7,0,Toro Rosso,2015,12,2015-09-06,Italian Grand Prix
26267,938,1,17,9,9,0,McLaren,2015,12,2015-09-06,Italian Grand Prix
26268,938,208,50,6,6,0,Lotus F1,2015,12,2015-09-06,Italian Grand Prix
26269,938,209,0,10,10,0,Manor Marussia,2015,12,2015-09-06,Italian Grand Prix
26270,939,131,463,1,1,10,Mercedes,2015,13,2015-09-20,Singapore Grand Prix
26271,939,6,310,2,2,3,Ferrari,2015,13,2015-09-20,Singapore Grand Prix
26272,939,3,198,3,3,0,Williams,2015,13,2015-09-20,Singapore Grand Prix
26273,939,15,26,8,8,0,Sauber,2015,13,2015-09-20,Singapore Grand Prix
26274,939,9,139,4,4,0,Red Bull,2015,13,2015-09-20,Singapore Grand Prix
26275,939,10,69,5,5,0,Force India,2015,13,2015-09-20,Singapore Grand Prix
26276,939,5,41,7,7,0,Toro Rosso,2015,13,2015-09-20,Singapore Grand Prix
26277,939,1,17,9,9,0,McLaren,2015,13,2015-09-20,Singapore Grand Prix
26278,939,208,50,6,6,0,Lotus F1,2015,13,2015-09-20,Singapore Grand Prix
26279,939,209,0,10,10,0,Manor Marussia,2015,13,2015-09-20,Singapore Grand Prix
26297,940,1,17,9,9,0,McLaren,2015,14,2015-09-27,Japanese Grand Prix
26294,940,9,139,4,4,0,Red Bull,2015,14,2015-09-27,Japanese Grand Prix
26292,940,3,208,3,3,0,Williams,2015,14,2015-09-27,Japanese Grand Prix
26299,940,209,0,10,10,0,Manor Marussia,2015,14,2015-09-27,Japanese Grand Prix
26298,940,208,60,6,6,0,Lotus F1,2015,14,2015-09-27,Japanese Grand Prix
26296,940,5,44,7,7,0,Toro Rosso,2015,14,2015-09-27,Japanese Grand Prix
26295,940,10,77,5,5,0,Force India,2015,14,2015-09-27,Japanese Grand Prix
26291,940,6,337,2,2,3,Ferrari,2015,14,2015-09-27,Japanese Grand Prix
26293,940,15,26,8,8,0,Sauber,2015,14,2015-09-27,Japanese Grand Prix
26290,940,131,506,1,1,11,Mercedes,2015,14,2015-09-27,Japanese Grand Prix
26384,941,209,0,10,10,0,Manor Marussia,2015,15,2015-10-11,Russian Grand Prix
26383,941,208,66,6,6,0,Lotus F1,2015,15,2015-10-11,Russian Grand Prix
26382,941,1,19,9,9,0,McLaren,2015,15,2015-10-11,Russian Grand Prix
26381,941,5,45,7,7,0,Toro Rosso,2015,15,2015-10-11,Russian Grand Prix
26380,941,10,92,5,5,0,Force India,2015,15,2015-10-11,Russian Grand Prix
26379,941,9,149,4,4,0,Red Bull,2015,15,2015-10-11,Russian Grand Prix
26378,941,15,34,8,8,0,Sauber,2015,15,2015-10-11,Russian Grand Prix
26377,941,3,220,3,3,0,Williams,2015,15,2015-10-11,Russian Grand Prix
26376,941,6,359,2,2,3,Ferrari,2015,15,2015-10-11,Russian Grand Prix
26394,942,209,0,10,10,0,Manor Marussia,2015,16,2015-10-25,United States Grand Prix
26375,941,131,531,1,1,12,Mercedes,2015,15,2015-10-11,Russian Grand Prix
26393,942,208,70,6,6,0,Lotus F1,2015,16,2015-10-25,United States Grand Prix
26390,942,10,102,5,5,0,Force India,2015,16,2015-10-25,United States Grand Prix
26388,942,15,36,8,8,0,Sauber,2015,16,2015-10-25,United States Grand Prix
26392,942,1,27,9,9,0,McLaren,2015,16,2015-10-25,United States Grand Prix
26391,942,5,63,7,7,0,Toro Rosso,2015,16,2015-10-25,United States Grand Prix
26387,942,3,220,3,3,0,Williams,2015,16,2015-10-25,United States Grand Prix
26389,942,9,150,4,4,0,Red Bull,2015,16,2015-10-25,United States Grand Prix
26386,942,6,374,2,2,3,Ferrari,2015,16,2015-10-25,United States Grand Prix
26385,942,131,574,1,1,13,Mercedes,2015,16,2015-10-25,United States Grand Prix
26403,943,208,71,6,6,0,Lotus F1,2015,17,2015-11-01,Mexican Grand Prix
26400,943,10,112,5,5,0,Force India,2015,17,2015-11-01,Mexican Grand Prix
26398,943,15,36,8,8,0,Sauber,2015,17,2015-11-01,Mexican Grand Prix
26404,943,209,0,10,10,0,Manor Marussia,2015,17,2015-11-01,Mexican Grand Prix
26402,943,1,27,9,9,0,McLaren,2015,17,2015-11-01,Mexican Grand Prix
26401,943,5,65,7,7,0,Toro Rosso,2015,17,2015-11-01,Mexican Grand Prix
26397,943,3,243,3,3,0,Williams,2015,17,2015-11-01,Mexican Grand Prix
26399,943,9,172,4,4,0,Red Bull,2015,17,2015-11-01,Mexican Grand Prix
26396,943,6,374,2,2,3,Ferrari,2015,17,2015-11-01,Mexican Grand Prix
26395,943,131,617,1,1,14,Mercedes,2015,17,2015-11-01,Mexican Grand Prix
26413,944,208,76,6,6,0,Lotus F1,2015,18,2015-11-15,Brazilian Grand Prix
26410,944,10,120,5,5,0,Force India,2015,18,2015-11-15,Brazilian Grand Prix
26408,944,15,36,8,8,0,Sauber,2015,18,2015-11-15,Brazilian Grand Prix
26414,944,209,0,10,10,0,Manor Marussia,2015,18,2015-11-15,Brazilian Grand Prix
26412,944,1,27,9,9,0,McLaren,2015,18,2015-11-15,Brazilian Grand Prix
26411,944,5,67,7,7,0,Toro Rosso,2015,18,2015-11-15,Brazilian Grand Prix
26407,944,3,253,3,3,0,Williams,2015,18,2015-11-15,Brazilian Grand Prix
26409,944,9,178,4,4,0,Red Bull,2015,18,2015-11-15,Brazilian Grand Prix
26406,944,6,401,2,2,3,Ferrari,2015,18,2015-11-15,Brazilian Grand Prix
26405,944,131,660,1,1,15,Mercedes,2015,18,2015-11-15,Brazilian Grand Prix
26434,945,208,78,6,6,0,Lotus F1,2015,19,2015-11-29,Abu Dhabi Grand Prix
26431,945,10,136,5,5,0,Force India,2015,19,2015-11-29,Abu Dhabi Grand Prix
26429,945,15,36,8,8,0,Sauber,2015,19,2015-11-29,Abu Dhabi Grand Prix
26435,945,209,0,10,10,0,Manor Marussia,2015,19,2015-11-29,Abu Dhabi Grand Prix
26433,945,1,27,9,9,0,McLaren,2015,19,2015-11-29,Abu Dhabi Grand Prix
26432,945,5,67,7,7,0,Toro Rosso,2015,19,2015-11-29,Abu Dhabi Grand Prix
26428,945,3,257,3,3,0,Williams,2015,19,2015-11-29,Abu Dhabi Grand Prix
26430,945,9,187,4,4,0,Red Bull,2015,19,2015-11-29,Abu Dhabi Grand Prix
26427,945,6,428,2,2,3,Ferrari,2015,19,2015-11-29,Abu Dhabi Grand Prix
26426,945,131,703,1,1,16,Mercedes,2015,19,2015-11-29,Abu Dhabi Grand Prix
26524,955,131,258,1,1,7,Mercedes,2016,8,2016-06-19,European Grand Prix
26566,948,15,0,10,10,0,Sauber,2016,1,2016-03-20,Australian Grand Prix
26567,948,209,0,11,11,0,Manor Marussia,2016,1,2016-03-20,Australian Grand Prix
26557,948,131,43,1,1,1,Mercedes,2016,1,2016-03-20,Australian Grand Prix
26565,948,1,0,9,9,0,McLaren,2016,1,2016-03-20,Australian Grand Prix
26564,948,4,0,8,8,0,Renault,2016,1,2016-03-20,Australian Grand Prix
26563,948,5,3,7,7,0,Toro Rosso,2016,1,2016-03-20,Australian Grand Prix
26562,948,10,6,6,6,0,Force India,2016,1,2016-03-20,Australian Grand Prix
